onset	duration	trial_type	classification	response_time	stimulus	trial_number
0.0	24.0	fixation	n/a	n/a	stimuli/mask_Fix_xhair.jpg	n/a
24.0	9.6	instruction	n/a	n/a	stimuli/2back_img_0.jpg	n/a
33.6	0.8	0back	true negative	n/a	stimuli/fnb_formB_07.jpg	1.0
34.4	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
36.0	0.8	0back	true negative	n/a	stimuli/fnb_formB_10.jpg	2.0
36.8	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
38.4	0.8	0back	true negative	n/a	stimuli/fnb_formB_13.jpg	3.0
39.199999999999996	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
40.8	0.8	0back	true positive	0.3604	stimuli/fnb_formB_19.jpg	4.0
41.599999999999994	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
43.199999999999996	0.8	0back	true negative	n/a	stimuli/fnb_formB_05.jpg	5.0
43.99999999999999	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
45.599999999999994	0.8	0back	true negative	n/a	stimuli/fnb_formB_09.jpg	6.0
46.39999999999999	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
47.99999999999999	0.8	0back	true positive	0.4085	stimuli/fnb_formB_19.jpg	7.0
48.79999999999999	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
50.39999999999999	0.8	0back	true negative	n/a	stimuli/fnb_formB_14.jpg	8.0
51.19999999999999	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
52.79999999999999	0.8	0back	true negative	n/a	stimuli/fnb_formB_06.jpg	9.0
53.59999999999999	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
55.19999999999999	0.8	0back	true positive	0.3928	stimuli/fnb_formB_19.jpg	10.0
55.999999999999986	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
57.59999999999999	0.8	0back	true negative	n/a	stimuli/fnb_formB_08.jpg	11.0
58.399999999999984	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
59.999999999999986	0.8	0back	true negative	n/a	stimuli/fnb_formB_07.jpg	12.0
60.79999999999998	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
62.399999999999984	0.8	0back	true positive	0.3888	stimuli/fnb_formB_19.jpg	13.0
63.19999999999998	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
64.79999999999998	0.8	0back	true negative	n/a	stimuli/fnb_formB_20.jpg	14.0
65.59999999999998	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
67.19999999999997	0.8	0back	true negative	n/a	stimuli/fnb_formB_04.jpg	15.0
67.99999999999997	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
69.59999999999997	0.8	0back	true negative	n/a	stimuli/fnb_formB_11.jpg	16.0
70.39999999999996	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
71.99999999999996	0.8	0back	true negative	n/a	stimuli/fnb_formB_18.jpg	17.0
72.79999999999995	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
74.39999999999995	0.8	0back	true negative	n/a	stimuli/fnb_formB_17.jpg	18.0
75.19999999999995	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
76.79999999999994	0.8	0back	true positive	0.3852	stimuli/fnb_formB_19.jpg	19.0
77.59999999999994	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
79.19999999999993	0.8	0back	true negative	n/a	stimuli/fnb_formB_17.jpg	20.0
79.99999999999993	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
81.59999999999992	9.6	instruction	n/a	n/a	stimuli/2back_img_2.jpg	n/a
91.19999999999992	0.8	2back	true negative	n/a	stimuli/fnb_formB_06.jpg	21.0
91.99999999999991	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
93.59999999999991	0.8	2back	true negative	n/a	stimuli/fnb_formB_18.jpg	22.0
94.3999999999999	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
95.9999999999999	0.8	2back	false positive	0.6059	stimuli/fnb_formB_11.jpg	23.0
96.7999999999999	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
98.39999999999989	0.8	2back	true negative	n/a	stimuli/fnb_formB_13.jpg	24.0
99.19999999999989	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
100.79999999999988	0.8	2back	true negative	n/a	stimuli/fnb_formB_12.jpg	25.0
101.59999999999988	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
103.19999999999987	0.8	2back	true positive	0.3792	stimuli/fnb_formB_13.jpg	26.0
103.99999999999987	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
105.59999999999987	0.8	2back	true negative	n/a	stimuli/fnb_formB_10.jpg	27.0
106.39999999999986	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
107.99999999999986	0.8	2back	true negative	n/a	stimuli/fnb_formB_16.jpg	28.0
108.79999999999986	1.6	fixation	n/a	n/a	stimuli/crosshair.jpg	n/a
